NODENAME,NEIGHBOR_HOSTNAME,Direction,Traffic_Gate,Exchange,NEIGHBORLOCATION
KFRSHK-R41J-KFS-EG,MGSRKY-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,MAGAZELSHARKY...KFS
KFRSHK-R41J-KFS-EG,EBTYSF-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,EZBETYOUSIF...KFS
KFRSHK-R41J-KFS-EG,EBTYSF-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,EZBETYOUSIF...KFS
KFRSHK-R41J-KFS-EG,EBTYSF-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,EZBETYOUSIF...KFS
KFRSHK-R41J-KFS-EG,SDKHMS-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,SADDELKHAMIS...KFS
KFRSHK-R41J-KFS-EG,MHLTDY-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,MAHALETDEYAY...KFS
KFRSHK-R41J-KFS-EG,FQHBHR-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,FOQAHAAELBAHARIAH...KFS
KFRSHK-R41J-KFS-EG,FQHBHR-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,FOQAHAAELBAHARIAH...KFS
KFRSHK-R41J-KFS-EG,FQHBHR-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,FOQAHAAELBAHARIAH...KFS
KFRSHK-R41J-KFS-EG,SHKMUBRK-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,SHEIKHMUBAREK...KFS
KFRSHK-R41J-KFS-EG,SNHRMD-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,SANHOURELMADINAH...KFS
KFRSHK-R41J-KFS-EG,BGBRLS-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,BORGELBEROLOS...KFS
KFRSHK-R41J-KFS-EG,BGBRLS-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,BORGELBEROLOS...KFS
