NODENAME,MANAGEMENT_SYSTEM,IP1,NODELOCATION,LOCAL_INTERFACE,locaL_ADDRESS,Role1,NEIGHBOR_HOSTNAME,NEIGHBOR_INTERFACE,neighboR_ADDRESS,NEIGHBORLOCATION,Role2,Direction
FASHN-R01J-BNS-EG,JUNIPER_MPLS,10.45.0.48,FASHN...BNS,XE-2/0/0,10.39.254.161/30,EDGE,FASHN-R30H-BNS-EG,GE0/1/0,10.39.254.162/30,FASHN...BNS,,Uplink
MAADI1_1-R05J-C-EG,JUNIPER_MPLS,10.45.15.228,MAADI1_1...C,AE30,10.29.51.249/30,EDGE,MAADI1_1-R06H-C-EG,ETH-TRUNK30,10.29.51.250/30,MAADI1_1...C,BIG EDGE,Uplink
OPERA-R30J-C-EG,JUNIPER_MPLS,10.45.19.2,OPERA...C,ET-7/0/0,10.39.223.210/30,BIG EDGE,MQATM2_A-R40C-C-EG,HU0/12/0/8,10.39.223.209/30,MOQATTAM2_A...C,DISTRIBUTION & VAS ROUTERS,Uplink
ASULTAN-R02J-IS-EG,JUNIPER_MPLS,10.45.6.192,ABOSULTAN...IS,XE-2/0/0,10.39.43.101/30,EDGE,ISMLIA-R37C-IS-EG,TE0/4/0/42,10.39.43.102/30,ISMAILIA...IS,DISTRIBUTION & VAS ROUTERS,Uplink
BASHMOR-R01J-DK-EG,JUNIPER_MPLS,10.45.9.125,BASHMOUR...DK,GE-0/0/0,10.39.22.61/30,EDGE,MNSREST-R31J-DK-EG,GE-11/2/2,10.39.22.62/30,MANSURAHEAST...DK,BIG EDGE,Uplink
BASHMOR-R01J-DK-EG,JUNIPER_MPLS,10.45.9.125,BASHMOUR...DK,GE-0/0/1,10.39.22.65/30,EDGE,MNSREST-R31J-DK-EG,GE-7/0/3,10.39.22.66/30,MANSURAHEAST...DK,BIG EDGE,Uplink
OBURCTY2-R02J-C-EG,JUNIPER_MPLS,10.45.0.214,OBOURCITY2...C,AE50,10.29.1.233/30,EDGE,OBURCTY2-R31H-C-EG,ETH-TRUNK50,10.29.1.234/30,OBOURCITY2...C,,Uplink
SNHRMD-R01J-KFS-EG,JUNIPER_MPLS,10.45.4.216,SANHOURELMADINAH...KFS,XE-2/0/0,10.39.33.18/30,EDGE,KFRSHK-R41J-KFS-EG,XE-15/1/19,10.39.33.17/30,KAFRELSHEIKH...KFS,DISTRIBUTION & VAS ROUTERS,Uplink
TALKHA-R04J-DK-EG,JUNIPER_MPLS,10.45.19.173,TALKHA...DK,AE12,10.29.54.38/30,EDGE,TALKHA-R30C-DK-EG,BE12,10.29.54.37/30,TALKHA...DK,BIG EDGE,Uplink
ABOSHQF-R01J-BH-EG,JUNIPER_MPLS,10.45.15.196,ABOELSHOQAF...BH,GE-0/1/1,10.39.17.186/30,EDGE,DMNHRE1-R31J-BH-EG,GE-4/0/7,10.39.17.185/30,DAMANHUREAST1...BH,BIG EDGE,Uplink
ABOSHQF-R01J-BH-EG,JUNIPER_MPLS,10.45.15.196,ABOELSHOQAF...BH,GE-0/0/0,10.39.65.58/30,EDGE,DMNHRE1-R31J-BH-EG,GE-8/0/7,10.39.65.57/30,DAMANHUREAST1...BH,BIG EDGE,Uplink
QARDA-R01J-KFS-EG,JUNIPER_MPLS,10.45.9.212,QARDA...KFS,GE-0/0/4,10.39.39.42/30,EDGE,KFRSHK-R41J-KFS-EG,GE-19/2/6,10.39.39.41/30,KAFRELSHEIKH...KFS,DISTRIBUTION & VAS ROUTERS,Uplink
QARDA-R01J-KFS-EG,JUNIPER_MPLS,10.45.9.212,QARDA...KFS,GE-0/1/0,10.39.39.38/30,EDGE,KFRSHK-R41J-KFS-EG,GE-18/3/9,10.39.39.37/30,KAFRELSHEIKH...KFS,DISTRIBUTION & VAS ROUTERS,Uplink
QARDA-R01J-KFS-EG,JUNIPER_MPLS,10.45.9.212,QARDA...KFS,GE-0/0/0,10.39.39.46/30,EDGE,KFRSHK-R41J-KFS-EG,GE-19/2/7,10.39.39.45/30,KAFRELSHEIKH...KFS,DISTRIBUTION & VAS ROUTERS,Uplink
QARDA-R01J-KFS-EG,JUNIPER_MPLS,10.45.9.212,QARDA...KFS,GE-0/0/5,10.39.229.54/30,EDGE,KFRSHK-R41J-KFS-EG,GE-18/3/8,10.39.229.53/30,KAFRELSHEIKH...KFS,DISTRIBUTION & VAS ROUTERS,Uplink
HANOUN-R01J-GH-EG,JUNIPER_MPLS,10.45.12.90,HANOUN...GH,XE-2/0/0,10.39.200.54/30,EDGE,TANTA2-R33C-GH-EG,TE0/13/0/32,10.39.200.53/30,TANTA2...GH,DISTRIBUTION & VAS ROUTERS,Uplink
NOBTRIF-R01J-DK-EG,JUNIPER_MPLS,10.45.12.63,NOUBTARIF...DK,XE-2/0/0,10.39.233.62/30,EDGE,MNSREST-R41J-DK-EG,XE-6/1/16,10.39.233.61/30,MANSURAHEAST...DK,DISTRIBUTION & VAS ROUTERS,Uplink
ISMLIA-R09J-IS-EG,JUNIPER_MPLS,10.45.19.190,ISMAILIA...IS,AE51,10.29.21.105/30,EDGE,ISMLIA-R37C-IS-EG,BE51,10.29.21.106/30,ISMAILIA...IS,DISTRIBUTION & VAS ROUTERS,Uplink
ISMLIA-R09J-IS-EG,JUNIPER_MPLS,10.45.19.190,ISMAILIA...IS,AE50,10.29.21.101/30,EDGE,ISMLIA-R38C-IS-EG,BE50,10.29.21.102/30,ISMAILIA...IS,DISTRIBUTION & VAS ROUTERS,Uplink
